iteration	mean	std_dev	min	max	median
10	-8.055	0.508	-8.886	-7.226	-8.132
10	-8.055	0.508	-8.886	-7.226	-8.132
20	-8.019	0.436	-8.651	-7.270	-8.165
30	-8.210	0.417	-8.835	-7.490	-8.294
40	-7.759	0.476	-8.540	-7.227	-7.646
50	-8.034	0.417	-8.519	-7.274	-8.109
60	-7.782	0.546	-8.590	-7.090	-7.741
70	-8.292	0.233	-8.598	-7.748	-8.325
80	-8.089	0.424	-8.701	-7.172	-8.187
90	-7.919	0.295	-8.312	-7.328	-8.035
100	-8.167	0.415	-8.585	-7.024	-8.279
110	-7.925	0.371	-8.379	-7.409	-7.951
120	-8.055	0.448	-8.688	-7.293	-8.126
130	-7.578	0.464	-8.413	-7.002	-7.463
140	-8.072	0.342	-8.457	-7.506	-8.234
150	-7.679	0.421	-8.568	-7.231	-7.488
160	-7.892	0.392	-8.377	-7.103	-7.958
170	-7.694	0.538	-8.629	-7.178	-7.432
180	-8.047	0.466	-8.670	-7.273	-8.232
190	-7.744	0.419	-8.309	-7.014	-7.646
200	-8.071	0.435	-8.556	-7.345	-8.102
210	25.474	8.144	19.850	43.089	20.556
220	80.438	16.179	56.117	111.776	80.365
230	45.137	39.584	10.997	155.022	33.401
240	-12.172	1.803	-14.217	-8.290	-12.704
250	-20.539	0.730	-21.592	-19.311	-20.668
260	-20.293	0.675	-21.444	-18.760	-20.327
270	-31.698	0.751	-32.639	-30.381	-31.879
280	-33.996	0.478	-34.715	-33.323	-34.099
290	-26.695	0.744	-28.105	-25.283	-26.663
300	-30.700	0.544	-31.638	-29.789	-30.741
310	-33.756	0.701	-34.680	-32.556	-33.695
320	-33.757	0.585	-34.585	-32.960	-33.540
330	-29.749	0.860	-31.126	-28.458	-29.714
340	-2.384	0.890	-3.359	-0.711	-2.689
350	249.327	4.736	243.165	257.070	249.805
360	328.206	10.410	310.683	345.092	331.188
370	623.777	438.260	56.140	982.011	980.420
380	18.725	7.447	6.257	27.974	17.098
390	24.293	1.523	21.749	26.517	24.256
400	19.324	15.315	-6.403	30.242	28.906
410	23.341	1.984	20.094	27.305	23.157
420	17.051	4.027	10.926	23.408	17.610
430	4.294	0.629	3.607	5.776	4.089
440	-17.240	6.722	-28.151	-7.163	-19.156
450	-1.448	3.445	-9.317	3.313	-0.770
460	33.686	6.771	22.067	39.403	37.413
470	-29.021	1.526	-32.427	-27.219	-28.580
480	-33.549	0.442	-34.008	-32.857	-33.731
490	-16.256	5.293	-23.231	-6.386	-17.160
500	-1.940	1.427	-4.727	-0.050	-1.970
510	40.528	5.838	32.672	49.851	37.929
520	-3.549	2.734	-7.044	0.872	-3.157
530	-12.391	11.947	-23.967	13.255	-16.718
540	-1.493	9.579	-12.447	23.503	-4.493
550	-20.916	6.631	-29.937	-10.154	-22.814
560	31.399	8.196	21.798	43.801	28.999
570	-37.335	4.183	-42.310	-27.857	-37.229
580	221.591	3.817	214.967	229.845	221.307
590	-11.495	5.779	-20.573	-1.275	-12.726
600	-12.628	4.958	-17.675	-1.146	-13.680
610	0.089	4.379	-6.518	7.649	-1.295
620	17.110	4.532	10.089	23.077	17.654
630	247.422	60.801	146.716	307.909	275.257
640	33.128	12.723	21.010	63.652	29.031
650	316.944	18.442	286.360	345.430	314.437
660	7.733	4.379	-0.503	13.045	8.462
670	-18.522	1.447	-20.796	-15.143	-18.691
680	9.721	1.790	7.524	14.273	9.589
690	-7.075	0.635	-7.898	-5.922	-6.972
700	3.105	0.891	1.616	4.911	2.983
710	-1.400	0.901	-3.284	0.281	-1.379
720	-8.010	0.836	-9.498	-6.934	-7.792
730	13.540	4.692	3.643	19.808	13.919
740	24.167	4.891	19.425	34.412	21.652
750	-7.077	1.008	-9.785	-6.033	-6.721
760	-1.584	0.586	-2.939	-0.884	-1.428
770	-0.275	1.997	-3.767	2.030	-0.583
780	-4.269	8.112	-14.825	8.591	-5.181
790	17.278	3.676	10.169	22.419	18.758
800	80.100	14.121	57.413	107.298	78.880
810	-3.176	4.638	-13.067	1.495	-1.220
820	12.632	6.377	3.110	26.149	10.964
830	36.944	4.639	31.504	47.198	37.573
840	43.893	2.561	39.302	48.477	44.015
850	42.227	3.918	36.041	48.333	42.716
860	68.878	6.360	60.931	77.322	68.101
870	352.933	9.134	338.961	367.015	351.924
880	55.884	19.819	33.510	94.168	49.702
890	314.572	23.490	272.163	355.531	310.215
900	298.282	158.634	58.317	457.135	389.680
910	0.793	0.961	-1.177	2.817	0.894
920	31.517	13.847	4.381	51.559	33.572
930	16.639	2.069	13.620	19.788	16.237
940	4.892	0.548	4.099	6.296	4.797
950	933.937	258.724	166.370	1082.350	1016.045
960	256.395	377.698	39.975	1011.153	68.578
970	1019.586	2.487	1017.201	1024.505	1018.412
980	1045.381	1.028	1043.755	1046.739	1045.551
990	943.833	308.012	19.812	1049.266	1046.069
1000	1021.294	18.432	971.498	1038.819	1024.861
1010	1008.880	21.543	958.907	1034.496	1019.693
1020	930.189	107.775	759.694	1081.501	943.689
